,,Value Tier,Ps,#,Player,Age,Team,OVR,,KTC,vKTC,Market Rank,,Buy/Sell/Hold,,Relative Base Value
1.01,,4 1sts,QB,QB1,Josh Allen,29.1,BUF,1,,3,+2,QB,2,Hold,,13.5
1.02,,4 1sts,QB,QB2,Lamar Jackson,28.5,BAL,2,,4,+2,QB,3,Hold,,13.5
1.03,,3+ 1sts,QB,QB3,Jayden Daniels,24.5,WAS,3,,2,-1,QB,1,Hold,,11.5
1.04,,3+ 1sts,QB,QB4,Jalen Hurts,26.9,PHI,4,,12,+8,QB,5,🚀 Hard Buy,,11.5
1.05,,3+ 1sts,QB,QB5,Joe Burrow,28.6,CIN,5,,8,+3,QB,4,Hold,,11.5
1.06,,3+ 1sts,WR,WR1,Ja'Marr Chase,25.3,CIN,6,,1,-5,WR,1,⚠️ Soft Sell,,11.5
1.07,,3+ 1sts,WR,WR2,Malik Nabers,21.9,NYG,7,,6,-1,WR,3,Hold,,11.5
1.08,,3+ 1sts,TE,TE1,Brock Bowers,22.6,LVR,8,,10,+2,TE,1,Hold,,11.5
1.09,,3+ 1sts,WR,WR3,Puka Nacua,24.1,LAR,9,,16,+7,WR,7,🔥 Soft Buy,,11.5
1.10,,3+ 1sts,WR,WR4,Justin Jefferson,26,MIN,10,,5,-5,WR,2,⚠️ Soft Sell,,11.5
1.11,,2.75 1sts,WR,WR5,CeeDee Lamb,26.2,DAL,11,,11,0,WR,4,Hold,,8.25
1.12,,2.75 1sts,WR,WR6,Amon-Ra St. Brown,25.7,DET,12,,15,+3,WR,6,Hold,,8.25
2.01,,2.75 1sts,TE,TE2,Trey McBride,25.6,ARI,13,,21,+8,TE,2,🔥 Soft Buy,,8.25
2.02,,2.75 1sts,WR,WR7,Brian Thomas Jr.,22.7,JAC,14,,14,0,WR,5,Hold,,8.25
2.03,,2.75 1sts,QB,QB6,Drake Maye,22.8,NEP,15,,17,+2,QB,6,Hold,,8.25
2.04,,2.75 1sts,QB,QB7,Caleb Williams,23.6,CHI,16,,25,+9,QB,10,🔥 Soft Buy,,8.25
2.05,,2.75 1sts,RB,RB1,Bijan Robinson,23.4,ATL,17,,7,-10,RB,1,🛑 Hard Sell,,8.25
2.06,,2.75 1sts,RB,RB2,Jahmyr Gibbs,23.3,DET,18,,9,-9,RB,2,🛑 Hard Sell,,8.25
2.07,,2.5 1sts,QB,QB8,Justin Herbert,27.3,LAC,19,,22,+3,QB,8,Hold,,7.5
2.08,,2.5 1sts,QB,QB9,Patrick Mahomes,29.8,KCC,20,,19,-1,QB,7,Hold,,7.5
2.09,,2.5 1sts,WR,WR8,Nico Collins,26.3,HOU,21,,20,-1,WR,9,Hold,,7.5
2.10,,2.5 1sts,RB,RB3,Ashton Jeanty,21.6,LVR,22,,13,-9,RB,3,⚠️ Soft Sell,,7.5
2.11,,2.5 1sts,WR,WR9,Drake London,23.9,ATL,23,,18,-5,WR,8,Hold,,7.5
2.12,,2.25 1sts,WR,WR10,Marvin Harrison Jr.,22.9,ARI,24,,26,+2,WR,11,Hold,,6.75
3.01,,2.25 1sts,WR,WR11,Ladd McConkey,23.7,LAC,25,,24,-1,WR,10,Hold,,6.75
3.02,,2.25 1sts,QB,QB10,Jordan Love,26.7,GBP,26,,33,+7,QB,12,🔥 Soft Buy,,6.75
3.03,,2.25 1sts,WR,WR12,Jaxon Smith-Njigba,23.4,SEA,27,,28,+1,WR,12,Hold,,6.75
3.04,,2.25 1sts,QB,QB11,C.J. Stroud,23.7,HOU,28,,27,-1,QB,11,Hold,,6.75
3.05,,2.25 1sts,WR,WR13,Travis Hunter,22.1,JAC,29,,36,+7,WR,14,🔥 Soft Buy,,6.75
3.06,,2.25 1sts,RB,RB4,Omarion Hampton,22.3,LAC,30,,31,+1,RB,5,Hold,,6.75
3.07,,2.25 1sts,WR,WR14,A.J. Brown,28,PHI,31,,38,+7,WR,15,🔥 Soft Buy,,6.75
3.08,,2.25 1sts,RB,RB5,Saquon Barkley,28.4,PHI,32,,29,-3,RB,4,Hold,,6.75
3.09,,2.25 1sts,QB,QB12,Bo Nix,25.3,DEN,33,,23,-10,QB,9,⚠️ Soft Sell,,6.75
3.10,,2 1sts,WR,WR15,Tetairoa McMillan,22.2,CAR,34,,43,+9,WR,17,🔥 Soft Buy,,6
3.11,,2 1sts,WR,WR16,Rashee Rice,25.2,KCC,35,,45,+10,WR,18,🔥 Soft Buy,,6
3.12,,2 1sts,RB,RB6,Breece Hall,24.1,NYJ,36,,50,+14,RB,10,🚀 Hard Buy,,6
4.01,,2 1sts,WR,WR17,Garrett Wilson,24.9,NYJ,37,,35,-2,WR,13,Hold,,6
4.02,,2 1sts,RB,RB7,De'Von Achane,23.7,MIA,38,,32,-6,RB,6,⚠️ Soft Sell,,6
4.03,,1.75 1st,QB,QB13,Kyler Murray,27.9,ARI,39,,46,+7,QB,15,🔥 Soft Buy,,5.25
4.04,,1.75 1st,RB,RB8,Bucky Irving,22.9,TBB,40,,34,-6,RB,7,⚠️ Soft Sell,,5.25
4.05,,1.75 1st,QB,QB14,Trevor Lawrence,25.7,JAC,41,,51,+10,QB,18,🔥 Soft Buy,,5.25
4.06,,1.5 1st,WR,WR18,Tee Higgins,26.4,CIN,42,,42,0,WR,16,Hold,,4.5
4.07,,1.5 1st,QB,QB15,Brock Purdy,25.5,SFO,43,,39,-4,QB,13,Hold,,4.5
4.08,,1.5 1st,RB,RB9,TreVeyon Henderson,22.7,NEP,44,,44,0,RB,8,Hold,,4.5
4.09,,1.5 1st,QB,QB16,Baker Mayfield,30.2,TBB,45,,48,+3,QB,17,Hold,,4.5
4.10,,1.5 1st,QB,QB17,J.J. McCarthy,22.4,MIN,46,,40,-6,QB,14,⚠️ Soft Sell,,4.5
4.11,,1.5 1st,QB,QB18,Cam Ward,23.1,TEN,47,,47,0,QB,16,Hold,,4.5
4.12,,1.5 1st,RB,RB10,Jonathan Taylor,26.4,IND,48,,49,+1,RB,9,Hold,,4.5
5.01,,1.25 1st,WR,WR19,Rome Odunze,23.1,CHI,49,,57,+8,WR,20,Hold,,3.75
5.02,,1.25 1st,QB,QB19,Dak Prescott,31.9,DAL,50,,78,+28,QB,22,🚀 Hard Buy,,3.75
5.03,,1.25 1st,RB,RB11,Quinshon Judkins,21.7,CLE,51,,52,+1,RB,11,Hold,,3.75
5.04,,1.25 1st,TE,TE3,Sam LaPorta,24.5,DET,52,,53,+1,TE,3,Hold,,3.75
5.05,,1.25 1st,WR,WR20,Chris Olave,25,NOS,53,,87,+34,WR,30,🚀 Hard Buy,,3.75
5.06,,1.25 1st,WR,WR21,DeVonta Smith,26.6,PHI,54,,56,+2,WR,19,Hold,,3.75
5.07,,1.25 1st,TE,TE4,Colston Loveland,21.2,CHI,55,,79,+24,TE,5,🚀 Hard Buy,,3.75
5.08,,1.25 1st,WR,WR22,Emeka Egbuka,22.7,TBB,56,,58,+2,WR,21,Hold,,3.75
5.09,,1.25 1st,RB,RB12,Kenneth Walker III,24.7,SEA,57,,64,+7,RB,15,Hold,,3.75
5.10,,1.25 1st,QB,QB20,Bryce Young,23.9,CAR,58,,61,+3,QB,20,Hold,,3.75
5.11,,1.25 1st,RB,RB13,Josh Jacobs,27.4,GBP,59,,63,+4,RB,14,Hold,,3.75
5.12,,1.25 1st,QB,QB21,Michael Penix Jr.,25.2,ATL,60,,55,-5,QB,19,Hold,,3.75
6.01,,1.25 1st,RB,RB14,Kyren Williams,24.8,LAR,61,,59,-2,RB,12,Hold,,3.75
6.02,,1.25 1st,RB,RB15,James Cook,25.8,BUF,62,,66,+4,RB,17,Hold,,3.75
6.03,,1st,WR,WR23,D.J. Moore,28.2,CHI,63,,85,+22,WR,28,🚀 Hard Buy,,3
6.04,,1st,TE,TE5,Tyler Warren,23.1,IND,64,,70,+6,TE,4,Hold,,3
6.05,,1st,WR,WR24,Xavier Worthy,22.2,KCC,65,,77,+12,WR,25,🔥 Soft Buy,,3
6.06,,1st,WR,WR25,Jordan Addison,23.4,MIN,66,,73,+7,WR,23,Hold,,3
6.07,,1st,RB,RB16,RJ Harvey,24.4,DEN,67,,75,+8,RB,19,Hold,,3
6.08,,1st,RB,RB17,Christian McCaffrey,29.1,SFO,68,,67,-1,RB,18,Hold,,3
6.09,,1st,QB,QB22,Jared Goff,30.7,DET,69,,71,+2,QB,21,Hold,,3
6.10,,1st,WR,WR26,Jaylen Waddle,26.6,MIA,70,,84,+14,WR,27,🔥 Soft Buy,,3
6.11,,1st,TE,TE6,George Kittle,31.7,SFO,71,,81,+10,TE,6,🔥 Soft Buy,,3
6.12,,1st,QB,QB23,Tua Tagovailoa,27.3,MIA,72,,96,+24,QB,25,🚀 Hard Buy,,3
7.01,,1st,WR,WR27,Brandon Aiyuk,27.3,SFO,73,,104,+31,WR,40,🚀 Hard Buy,,3
7.02,,1st,TE,TE7,T.J. Hockenson,28,MIN,74,,93,+19,TE,7,🔥 Soft Buy,,3
7.03,,1st,RB,RB18,Chase Brown,25.3,CIN,75,,60,-15,RB,13,⚠️ Soft Sell,,3
7.04,,1st,RB,RB19,Kaleb Johnson,21.9,PIT,76,,65,-11,RB,16,⚠️ Soft Sell,,3
7.05,,.75 1st,QB,QB24,Justin Fields,26.3,NYJ,77,,95,+18,QB,24,🔥 Soft Buy,,2.5
7.06,,.75 1st,RB,RB20,Derrick Henry,31.5,BAL,78,,76,-2,RB,20,Hold,,2.5
7.07,,.75 1st,WR,WR28,DK Metcalf,27.5,PIT,79,,80,+1,WR,26,Hold,,2.5
7.08,,.75 1st,WR,WR29,Davante Adams,32.5,LAR,80,,106,+26,WR,42,🔥 Soft Buy,,2.5
7.09,,.75 1st,RB,RB21,Chuba Hubbard,26,CAR,81,,91,+10,RB,21,🔥 Soft Buy,,2.5
7.10,,.75 1st,QB,QB25,Jaxson Dart,22.1,NYG,82,,90,+8,QB,23,Hold,,2.5
7.11,,.75 1st,QB,QB26,Anthony Richardson,23.1,IND,83,,143,+60,QB,29,🚀 Hard Buy,,2.5
7.12,,.75 1st,WR,WR30,Jameson Williams,24.3,DET,84,,72,-12,WR,22,⚠️ Soft Sell,,2.5
8.01,,.75 1st,WR,WR31,Luther Burden,21.6,CHI,85,,94,+9,WR,34,Hold,,2.5
8.02,,.75 1st,WR,WR32,Mike Evans,31.9,TBB,86,,97,+11,WR,35,🔥 Soft Buy,,2.5
8.03,,.75 1st,WR,WR33,Zay Flowers,24.8,BAL,87,,74,-13,WR,24,⚠️ Soft Sell,,2.5
8.04,,.75 1st,WR,WR34,Terry McLaurin,29.8,WAS,88,,88,0,WR,31,Hold,,2.5
8.05,,.75 1st,WR,WR35,George Pickens,24.3,DAL,89,,86,-3,WR,29,Hold,,2.5
8.06,,.75 1st,RB,RB22,Alvin Kamara,29.9,NOS,90,,102,+12,RB,22,Hold,,2.5
8.07,,2nd +,WR,WR36,Tyreek Hill,31.3,MIA,91,,103,+12,WR,39,Hold,,1.25
8.08,,2nd +,WR,WR37,Jayden Higgins,22.5,HOU,92,,98,+6,WR,36,Hold,,1.25
8.09,,2nd +,WR,WR38,Matthew Golden,21.9,GBP,93,,89,-4,WR,32,Hold,,1.25
8.10,,2nd +,WR,WR39,Jayden Reed,25.2,GBP,94,,107,+13,WR,43,Hold,,1.25
8.11,,2nd +,WR,WR40,Tre Harris,23.3,LAC,95,,108,+13,WR,44,Hold,,1.25
8.12,,2nd +,TE,TE8,David Njoku,29,CLE,96,,126,+30,TE,11,🚀 Hard Buy,,1.25
9.01,,2nd +,WR,WR41,Jerry Jeudy,26.2,CLE,97,,99,+2,WR,37,Hold,,1.25
9.02,,2nd +,WR,WR42,Josh Downs,23.9,IND,98,,100,+2,WR,38,Hold,,1.25
9.03,,2nd +,WR,WR43,Ricky Pearsall,24.8,SFO,99,,92,-7,WR,33,Hold,,1.25
