name,position,class_year,school,external_id,scoring_date,early_declare
Clyde Edwards-Helaire,RB,2020,LSU,00-0036360,2020-04-30,true
D'Andre Swift,RB,2020,Georgia,00-0036275,2020-04-30,true
Jonathan Taylor,RB,2020,Wisconsin,00-0036223,2020-04-30,true
Cam Akers,RB,2020,Florida St.,00-0036414,2020-04-30,true
J.K. Dobbins,RB,2020,Ohio St.,00-0036158,2020-04-30,true
AJ Dillon,RB,2020,Boston Col.,00-0036265,2020-04-30,true
Antonio Gibson,RB,2020,Memphis,00-0036328,2020-04-30,false
Ke'Shawn Vaughn,RB,2020,Illinois,00-0036450,2020-04-30,false
Zack Moss,RB,2020,Utah,00-0036251,2020-04-30,false
Darrynton Evans,RB,2020,Appalachian St.,00-0036297,2020-04-30,true
Joshua Kelley,RB,2020,UCLA,00-0036370,2020-04-30,false
La'Mical Perine,RB,2020,Florida,00-0036269,2020-04-30,false
Anthony McFarland Jr.,RB,2020,Maryland,00-0036336,2020-04-30,true
DeeJay Dallas,RB,2020,Miami (FL),00-0036425,2020-04-30,true
Jason Huntley,RB,2020,New Mexico St.,00-0036278,2020-04-30,false
Eno Benjamin,RB,2020,Arizona St.,00-0036383,2020-04-30,true
Raymond Calais,RB,2020,Louisiana,00-0036435,2020-04-30,false
Malcolm Perry,RB,2020,Navy,00-0036245,2020-04-30,false
Henry Ruggs III,WR,2020,Alabama,00-0036357,2020-04-30,true
Jerry Jeudy,WR,2020,Alabama,00-0036407,2020-04-30,true
CeeDee Lamb,WR,2020,Oklahoma,00-0036358,2020-04-30,true
Jalen Reagor,WR,2020,TCU,00-0036387,2020-04-30,true
Justin Jefferson,WR,2020,LSU,00-0036322,2020-04-30,true
Brandon Aiyuk,WR,2020,Arizona St.,00-0036261,2020-04-30,false
Tee Higgins,WR,2020,Clemson,00-0036410,2020-04-30,true
Michael Pittman Jr.,WR,2020,USC,00-0036252,2020-04-30,false
Laviska Shenault Jr.,WR,2020,Colorado,00-0036268,2020-04-30,true
KJ Hamler,WR,2020,Penn St.,00-0036412,2020-04-30,true
Chase Claypool,WR,2020,Notre Dame,00-0036326,2020-04-30,false
Van Jefferson,WR,2020,Florida,00-0036415,2020-04-30,false
Denzel Mims,WR,2020,Baylor,00-0036255,2020-04-30,false
Antonio Gibson,WR,2020,Memphis,GibsAn00,2020-04-30,false
Lynn Bowden Jr.,WR,2020,Kentucky,00-0036364,2020-04-30,true
Bryan Edwards,WR,2020,South Carolina,00-0036365,2020-04-30,false
Devin Duvernay,WR,2020,Texas,00-0036331,2020-04-30,false
Gabe Davis,WR,2020,Central Florida,00-0036196,2020-04-30,false
Gabriel Davis,WR,2020,UCF,DaviGa01,2020-04-30,true
Antonio Gandy-Golden,WR,2020,Liberty,00-0036340,2020-04-30,false
Joe Reed,WR,2020,Virginia,00-0036377,2020-04-30,false
Tyler Johnson,WR,2020,Minnesota,00-0036427,2020-04-30,false
Collin Johnson,WR,2020,Texas,00-0036254,2020-04-30,false
Quintez Cephus,WR,2020,Wisconsin,00-0036277,2020-04-30,true
John Hightower,WR,2020,Boise St.,00-0036398,2020-04-30,false
Isaiah Coulter,WR,2020,Rhode Island,00-0036308,2020-04-30,true
Darnell Mooney,WR,2020,Tulane,00-0036309,2020-04-30,false
K.J. Osborn,WR,2020,Miami (FL),00-0036345,2020-04-30,false
Donovan Peoples-Jones,WR,2020,Michigan,00-0036233,2020-04-30,true
Quez Watkins,WR,2020,Southern Miss,00-0036271,2020-04-30,true
James Proche,WR,2020,SMU,00-0036133,2020-04-30,false
