name,position,class_year,school,external_id,scoring_date,draft_round,overall_pick,nfl_team,pass_play_usage,best_pass_play_usage,receiving_ppa,career_receiving_ppa,best_receiving_ppa,rushing_ppa,career_rushing_ppa,best_rushing_ppa,career_yprr,best_yprr,target_share,receiving_yard_share,age_at_draft,early_declare,ras,bmi,speed_score,recruiting_rating,conference_strength,scrimmage_yards_per_game,rushing_yard_share,yards_after_contact_per_attempt,missed_tackles_per_attempt,receptions_per_game,receiving_yprr
Clyde Edwards-Helaire,RB,2020,LSU,00-0036360,2020-04-30,1,32,KAN,0.108,0.108,0.385,0.8290000000000001,1.772,0.343,-0.05199999999999997,0.343,,,,0.075199203187251,21,,,32.4172421474716,92.46322018574837,0.8846,100,124.46666666666667,0.5573512022073315,,,3.6666666666666665,
D'Andre Swift,RB,2020,Georgia,00-0036275,2020-04-30,2,35,DET,0.07,0.109,0.265,0.39299999999999996,0.564,0.181,0.20966666666666667,0.234,,,,0.06918641896220372,21,,,32.23096885813149,105.25768173580015,0.9838,100,102.42857142857143,0.4592760180995475,,,1.7142857142857142,
Jonathan Taylor,RB,2020,Wisconsin,00-0036223,2020-04-30,2,41,IND,0.102,0.102,0.383,0.13833333333333334,0.383,0.196,0.19866666666666669,0.26,,,,0.08993576017130621,21,,,32.42408163265306,121.69713490886193,0.8884,100,161.07142857142858,0.6112297833384193,,,1.8571428571428572,
Cam Akers,RB,2020,Florida St.,00-0036414,2020-04-30,2,52,LAR,0.101,0.101,0.287,0.3773333333333333,0.705,0.1,0.04733333333333334,0.1,,,,0.06467375682667433,21,,,31.132857142857144,108.7075322425963,0.9983,85,124.45454545454545,0.6027397260273972,,,2.727272727272727,
J.K. Dobbins,RB,2020,Ohio St.,00-0036158,2020-04-30,2,55,BAL,0.067,0.067,0.675,0.417,0.675,0.325,0.2436666666666667,0.325,,,,0.06704668838219327,21,,,30.86053350136526,,0.979,100,160.71428571428572,0.5312997347480106,,,1.6428571428571428,
AJ Dillon,RB,2020,Boston Col.,00-0036265,2020-04-30,2,62,GNB,0.058,0.058,0.813,0.4905,0.813,0.174,0.11299999999999999,0.174,,,,0.08522727272727272,22,,,33.49556327160494,117.30975853856671,0.8833,85,156.66666666666666,0.508756038647343,,,1.0833333333333333,
Antonio Gibson,RB,2020,Memphis,00-0036328,2020-04-30,3,66,WAS,,,,,,,,,,,,,22,,,,,,,,,,,,
Ke'Shawn Vaughn,RB,2020,Illinois,00-0036450,2020-04-30,3,76,TAM,0.084,0.084,0.471,0.20975,0.549,0.17,0.15225,0.391,,,,0.1308139534883721,23,,,30.702448979591836,103.45169279930268,0.8982,100,108.16666666666667,0.6736566186107471,,,2.3333333333333335,
Zack Moss,RB,2020,Utah,00-0036251,2020-04-30,3,86,BUF,0.093,0.093,0.706,0.32975,0.706,0.249,0.15825,0.317,,,,0.12174458738625667,22,,,32.92774627179164,95.39443654459264,0.8422,80,138.76923076923077,0.5,,,2.1538461538461537,
Darrynton Evans,RB,2020,Appalachian St.,00-0036297,2020-04-30,3,93,TEN,0.073,0.073,0.615,0.25766666666666665,0.615,0.206,0.056999999999999995,0.206,,,,0.07008849557522123,22,,,29.124285714285715,107.3424925717371,0.7519,65,119.78571428571429,0.4540988639852625,,,1.5,
