name,position,class_year,school,external_id,scoring_date,target_share
Clyde Edwards-Helaire,RB,2020,LSU,00-0036360,2020-04-30,0.13348946135831383
D'Andre Swift,RB,2020,Georgia,00-0036275,2020-04-30,0.08682634730538923
Jonathan Taylor,RB,2020,Wisconsin,00-0036223,2020-04-30,0.11904761904761904
Cam Akers,RB,2020,Florida St.,00-0036414,2020-04-30,0.10914454277286136
J.K. Dobbins,RB,2020,Ohio St.,00-0036158,2020-04-30,0.06451612903225806
AJ Dillon,RB,2020,Boston Col.,00-0036265,2020-04-30,0.06818181818181818
Antonio Gibson,RB,2020,Memphis,00-0036328,2020-04-30,
Ke'Shawn Vaughn,RB,2020,Illinois,00-0036450,2020-04-30,0.10921501706484642
Zack Moss,RB,2020,Utah,00-0036251,2020-04-30,0.116
Darrynton Evans,RB,2020,Appalachian St.,00-0036297,2020-04-30,
Joshua Kelley,RB,2020,UCLA,00-0036370,2020-04-30,0.04132231404958678
La'Mical Perine,RB,2020,Florida,00-0036269,2020-04-30,0.12202380952380952
Anthony McFarland Jr.,RB,2020,Maryland,00-0036336,2020-04-30,0.0963855421686747
DeeJay Dallas,RB,2020,Miami (FL),00-0036425,2020-04-30,0.060897435897435896
Jason Huntley,RB,2020,New Mexico St.,00-0036278,2020-04-30,0.13128491620111732
Eno Benjamin,RB,2020,Arizona St.,00-0036383,2020-04-30,0.16554054054054054
Raymond Calais,RB,2020,Louisiana,00-0036435,2020-04-30,0.03076923076923077
Malcolm Perry,RB,2020,Navy,00-0036245,2020-04-30,
Henry Ruggs III,WR,2020,Alabama,00-0036357,2020-04-30,0.15028901734104047
Jerry Jeudy,WR,2020,Alabama,00-0036407,2020-04-30,0.2745664739884393
CeeDee Lamb,WR,2020,Oklahoma,00-0036358,2020-04-30,0.24584717607973422
Jalen Reagor,WR,2020,TCU,00-0036387,2020-04-30,0.22758620689655173
Justin Jefferson,WR,2020,LSU,00-0036322,2020-04-30,0.22716627634660422
Brandon Aiyuk,WR,2020,Arizona St.,00-0036261,2020-04-30,0.3141891891891892
Tee Higgins,WR,2020,Clemson,00-0036410,2020-04-30,0.1702127659574468
Michael Pittman Jr.,WR,2020,USC,00-0036252,2020-04-30,0.2762836185819071
Laviska Shenault Jr.,WR,2020,Colorado,00-0036268,2020-04-30,0.21937321937321938
KJ Hamler,WR,2020,Penn St.,00-0036412,2020-04-30,0.29044117647058826
Chase Claypool,WR,2020,Notre Dame,00-0036326,2020-04-30,0.2849002849002849
Van Jefferson,WR,2020,Florida,00-0036415,2020-04-30,0.15773809523809523
