name,position,class_year,school,external_id,scoring_date,draft_round,overall_pick,nfl_team,pass_play_usage,best_pass_play_usage,receiving_ppa,career_receiving_ppa,best_receiving_ppa,rushing_ppa,career_rushing_ppa,best_rushing_ppa,career_yprr,best_yprr,target_share,receiving_yard_share,age_at_draft,early_declare,ras,bmi,speed_score,recruiting_rating,conference_strength,scrimmage_yards_per_game,rushing_yard_share,yards_after_contact_per_attempt,missed_tackles_per_attempt,receptions_per_game,receiving_yprr
Jonathon Brooks,RB,2024,Texas,00-0039344,2024-04-30,2,46,CAR,0.077,0.077,0.778,1.16,1.734,0.211,0.4043333333333334,0.585,,,,0.07066963182604398,21,,,29.291666666666668,,0.8956,85,109.61538461538461,0.4273921200750469,,,1.9230769230769231,
Trey Benson,RB,2024,Florida St.,00-0039921,2024-04-30,3,66,ARI,0.054,0.054,0.567,0.42899999999999994,0.567,0.076,0.19766666666666666,0.266,,,,0.06470923603192702,22,,,29.291666666666668,116.31230593059371,0.8937,80,87.07692307692308,0.42073454207345423,,,1.5384615384615385,
Blake Corum,RB,2024,Michigan,00-0039738,2024-04-30,3,83,LAR,0.045,0.086,0.319,0.58625,1.076,0.224,0.1615,0.352,,,,0.03650546021840874,23,,,31.16673875432526,97.36235020407359,0.9419,100,104.76923076923077,0.48670836591086786,,,1.2307692307692308,
MarShawn Lloyd,RB,2024,USC,00-0039811,2024-04-30,3,88,GNB,0.034,0.076,1.197,0.6670000000000001,1.197,0.279,0.08966666666666667,0.279,,,,0.053592053592053594,23,,,32.48477210670028,111.20216474658048,0.9778,100,87.66666666666667,0.4638009049773756,,,1.0833333333333333,
Jaylen Wright,RB,2024,Tennessee,00-0039874,2024-04-30,4,120,MIA,0.058,0.058,0.35,0.6469999999999999,1.556,0.209,0.19933333333333333,0.312,,,,0.044577932342712616,21,,,29.28585598095616,114.1176575246594,0.8715,100,96.16666666666667,0.3786915887850467,,,1.8333333333333333,
Bucky Irving,RB,2024,Oregon,00-0039361,2024-04-30,4,125,TAM,,,,,,,,,,,,,22,,,28.35034656584751,89.59538453109731,0.8972,,,,,,,
Will Shipley,RB,2024,Clemson,00-0039746,2024-04-30,4,127,PHI,0.085,0.086,0.406,0.2773333333333334,0.406,0.1,0.17566666666666667,0.236,,,,0.08218255304816437,22,,,28.728030152747472,,0.9839,85,89.25,0.3612931411096549,,,2.5833333333333335,
Ray Davis,RB,2024,Kentucky,00-0039875,2024-04-30,4,128,BUF,0.148,0.148,0.801,0.801,0.801,0.265,0.265,0.265,,,,0.016903914590747332,24,,,,,0.827,100,12.833333333333334,0.0596401028277635,,,0.25,
Isaac Guerendo,RB,2024,Louisville,00-0039363,2024-04-30,4,129,SFO,0.056,0.067,0.626,0.0455,0.626,0.237,0.06539999999999999,0.237,,,,0.07127627170271093,24,,,29.96971450617284,125.73919741084094,0.858,100,80.3076923076923,0.3221957040572792,,,1.6923076923076923,
Braelon Allen,RB,2024,Wisconsin,00-0039794,2024-04-30,4,134,NYJ,0.067,0.067,-0.048,0.11,0.466,0.221,0.21,0.257,,,,0.045772187281621246,20,,,31.00112591480578,,0.9159,100,92.91666666666667,0.46790299572039945,,,2.3333333333333335,
Audric Estime,RB,2024,Notre Dame,00-0039373,2024-04-30,5,147,DEN,0.053,0.053,0.567,0.7095,0.852,0.327,0.401,0.671,,,,0.04430577223088924,21,,,30.819877008530053,89.81288368998997,0.9146,,123.58333333333333,0.5527617477328937,,,1.4166666666666667,
Rasheen Ali,RB,2024,Marshall,00-0039796,2024-04-30,5,165,BAL,0.08,0.089,0.197,0.5113333333333333,0.99,0.17,0.26875,0.478,,,,0.07244897959183673,23,,,28.728030152747472,,0.74,55,112.75,0.6544202066590127,,,2.3333333333333335,
Tyrone Tracy Jr.,RB,2024,Purdue,00-0039384,2024-04-30,5,166,NYG,0.052,0.155,0.282,0.8385000000000001,3.156,0.243,0.1215,0.404,,,,0.05209155485398579,24,,,29.146399523903987,103.76818623953882,0.868,100,70.66666666666667,0.35115252574791567,,,1.5833333333333333,
Keilan Robinson,RB,2024,Texas,00-0039385,2024-04-30,5,167,JAX,0.026,0.065,0.167,0.1005,0.779,1.07,0.2795,1.07,,,,0.013837410427477144,24,,,29.038278546712803,100.08621957253739,0.9094,100,14.615384615384615,0.05028142589118199,,,0.6153846153846154,
Isaiah Davis,RB,2024,South Dakota St.,00-0039798,2024-04-30,5,173,NYJ,0.111,0.136,0.99,0.6336666666666667,0.99,0.399,0.2813333333333334,0.399,,,,0.06081946222791293,22,,,,,0.86,55,156.27272727272728,0.48233438485804414,,,2,
Kimani Vidal,RB,2024,Troy,00-0039391,2024-04-30,6,181,LAC,0.042,0.083,0.679,0.30975,0.679,0.221,0.11424999999999999,0.221,,,,0.05414870689655173,23,,,32.38300173010381,107.66391405009837,0.8589,65,143.30769230769232,0.768377253814147,,,1.3846153846153846,
Jase McClellan,RB,2024,Alabama,00-0039393,2024-04-30,6,186,ATL,0.056,0.072,0.431,0.50225,1.118,0.146,0.27,0.663,,,,0.04439403758911212,22,,,31.70673469387755,,0.9755,100,79,0.35771704180064307,,,1.1538461538461537,
Jawhar Jordan,RB,2024,Louisville,00-0039405,2024-04-30,6,205,HOU,0.06,0.06,0.601,1.3512,3.628,0.25,0.1048,0.25,,,,0.07493146512336278,25,,,27.689591836734692,89.27460432222395,0.866,85,105.6923076923077,0.4486873508353222,,,1.6153846153846154,
Dylan Laube,RB,2024,New Hampshire,00-0039407,2024-04-30,6,208,LVR,0.163,0.163,0.927,0.75525,1.519,0.114,0.03900000000000001,0.239,,,,0.24186851211072663,24,,,,,,,128.54545454545453,0.5665610142630745,,,6.181818181818182,
Marvin Harrison Jr.,WR,2024,Ohio St.,00-0039849,2024-04-30,1,4,ARI,0.236,0.269,1.243,1.1963333333333335,1.438,2.604,1.9020000000000001,2.604,,,,0.3461978273299028,22,,,26.120355555555555,,0.9583,100,103.08333333333333,0.014317180616740088,,,5.583333333333333,
Malik Nabers,WR,2024,LSU,00-0039337,2024-04-30,1,6,NYG,0.283,0.283,0.971,1.0096666666666667,1.13,-0.197,0.476,1.267,,,,0.35602450646698436,21,,,27.121913580246915,,0.9112,100,130.83333333333334,0.000375234521575985,,,7.416666666666667,
Rome Odunze,WR,2024,Washington,00-0039919,2024-04-30,1,9,CHI,0.207,0.207,1.023,0.6895,1.023,0.83,0.4145,1.427,,,,0.3181377303588749,22,,,26.49528888888889,108.12492336701838,0.9175,80,129,0.020532741398446172,,,7.076923076923077,
Brian Thomas,WR,2024,LSU,00-0039893,2024-04-30,1,23,JAX,0.183,0.183,1.304,0.9396666666666667,1.304,0.752,0.3065,0.752,,,,0.26707510778307236,21,,,26.120355555555555,118.9117296781256,0.96,100,97.58333333333333,-0.00225140712945591,,,5.666666666666667,
