name,position,class_year,school,external_id,scoring_date,career_yprr,best_yprr,receiving_yprr,yards_after_contact_per_attempt,missed_tackles_per_attempt,ras
Clyde Edwards-Helaire,RB,2020,LSU,00-0036360,2020-04-30,,,,,,
D'Andre Swift,RB,2020,Georgia,00-0036275,2020-04-30,,,,,,
Jonathan Taylor,RB,2020,Wisconsin,00-0036223,2020-04-30,,,,,,
Cam Akers,RB,2020,Florida St.,00-0036414,2020-04-30,,,,,,
J.K. Dobbins,RB,2020,Ohio St.,00-0036158,2020-04-30,,,,,,
AJ Dillon,RB,2020,Boston Col.,00-0036265,2020-04-30,,,,,,
Antonio Gibson,RB,2020,Memphis,00-0036328,2020-04-30,,,,,,
Ke'Shawn Vaughn,RB,2020,Illinois,00-0036450,2020-04-30,,,,,,
Zack Moss,RB,2020,Utah,00-0036251,2020-04-30,,,,,,
Darrynton Evans,RB,2020,Appalachian St.,00-0036297,2020-04-30,,,,,,
Joshua Kelley,RB,2020,UCLA,00-0036370,2020-04-30,,,,,,
La'Mical Perine,RB,2020,Florida,00-0036269,2020-04-30,,,,,,
Anthony McFarland Jr.,RB,2020,Maryland,00-0036336,2020-04-30,,,,,,
DeeJay Dallas,RB,2020,Miami (FL),00-0036425,2020-04-30,,,,,,
Jason Huntley,RB,2020,New Mexico St.,00-0036278,2020-04-30,,,,,,
Eno Benjamin,RB,2020,Arizona St.,00-0036383,2020-04-30,,,,,,
Raymond Calais,RB,2020,Louisiana,00-0036435,2020-04-30,,,,,,
Malcolm Perry,RB,2020,Navy,00-0036245,2020-04-30,,,,,,
Henry Ruggs III,WR,2020,Alabama,00-0036357,2020-04-30,,,,,,
Jerry Jeudy,WR,2020,Alabama,00-0036407,2020-04-30,,,,,,
CeeDee Lamb,WR,2020,Oklahoma,00-0036358,2020-04-30,,,,,,
Jalen Reagor,WR,2020,TCU,00-0036387,2020-04-30,,,,,,
Justin Jefferson,WR,2020,LSU,00-0036322,2020-04-30,,,,,,
Brandon Aiyuk,WR,2020,Arizona St.,00-0036261,2020-04-30,,,,,,
Tee Higgins,WR,2020,Clemson,00-0036410,2020-04-30,,,,,,
Michael Pittman Jr.,WR,2020,USC,00-0036252,2020-04-30,,,,,,
Laviska Shenault Jr.,WR,2020,Colorado,00-0036268,2020-04-30,,,,,,
KJ Hamler,WR,2020,Penn St.,00-0036412,2020-04-30,,,,,,
Chase Claypool,WR,2020,Notre Dame,00-0036326,2020-04-30,,,,,,
Van Jefferson,WR,2020,Florida,00-0036415,2020-04-30,,,,,,
Denzel Mims,WR,2020,Baylor,00-0036255,2020-04-30,,,,,,
Antonio Gibson,WR,2020,Memphis,GibsAn00,2020-04-30,,,,,,
Lynn Bowden Jr.,WR,2020,Kentucky,00-0036364,2020-04-30,,,,,,
Bryan Edwards,WR,2020,South Carolina,00-0036365,2020-04-30,,,,,,
Devin Duvernay,WR,2020,Texas,00-0036331,2020-04-30,,,,,,
Gabe Davis,WR,2020,Central Florida,00-0036196,2020-04-30,,,,,,
Gabriel Davis,WR,2020,UCF,DaviGa01,2020-04-30,,,,,,
Antonio Gandy-Golden,WR,2020,Liberty,00-0036340,2020-04-30,,,,,,
Joe Reed,WR,2020,Virginia,00-0036377,2020-04-30,,,,,,
Tyler Johnson,WR,2020,Minnesota,00-0036427,2020-04-30,,,,,,
Collin Johnson,WR,2020,Texas,00-0036254,2020-04-30,,,,,,
Quintez Cephus,WR,2020,Wisconsin,00-0036277,2020-04-30,,,,,,
John Hightower,WR,2020,Boise St.,00-0036398,2020-04-30,,,,,,
Isaiah Coulter,WR,2020,Rhode Island,00-0036308,2020-04-30,,,,,,
Darnell Mooney,WR,2020,Tulane,00-0036309,2020-04-30,,,,,,
K.J. Osborn,WR,2020,Miami (FL),00-0036345,2020-04-30,,,,,,
Donovan Peoples-Jones,WR,2020,Michigan,00-0036233,2020-04-30,,,,,,
Quez Watkins,WR,2020,Southern Miss,00-0036271,2020-04-30,,,,,,
James Proche,WR,2020,SMU,00-0036133,2020-04-30,,,,,,
Isaiah Hodgins,WR,2020,Oregon St.,00-0036165,2020-04-30,,,,,,
Dezmon Patmon,WR,2020,Washington St.,00-0036228,2020-04-30,,,,,,
Freddie Swain,WR,2020,Florida,00-0036247,2020-04-30,,,,,,
Jauan Jennings,WR,2020,Tennessee,00-0036259,2020-04-30,,,,,,
K.J. Hill,WR,2020,Ohio St.,00-0036382,2020-04-30,,,,,,
Malcolm Perry,WR,2020,Navy,PerrMa00,2020-04-30,,,,,,
Tyrie Cleveland,WR,2020,Florida,00-0036439,2020-04-30,,,,,,
Najee Harris,RB,2021,Alabama,00-0036893,2021-04-30,,,,,,
Travis Etienne,RB,2021,Clemson,00-0036973,2021-04-30,,,,,,
Javonte Williams,RB,2021,North Carolina,00-0036997,2021-04-30,,,,,,
Trey Sermon,RB,2021,Ohio St.,00-0036984,2021-04-30,,,,,,
Michael Carter,RB,2021,North Carolina,00-0036924,2021-04-30,,,,,,
Kene Nwangwu,RB,2021,Iowa St.,00-0036842,2021-04-30,,,,,,
Rhamondre Stevenson,RB,2021,Oklahoma,00-0036875,2021-04-30,,,,,,
Chuba Hubbard,RB,2021,Oklahoma St.,00-0036555,2021-04-30,,,,,,
Kenneth Gainwell,RB,2021,Memphis,00-0036919,2021-04-30,,,,,,
Elijah Mitchell,RB,2021,Louisiana,00-0036567,2021-04-30,,,,,,
Gary Brightwell,RB,2021,Arizona,00-0036569,2021-04-30,,,,,,
Larry Rountree,RB,2021,Missouri,00-0036650,2021-04-30,,,,,,
Chris Evans,RB,2021,Michigan,00-0036857,2021-04-30,,,,,,
Demetric Felton,RB,2021,UCLA,00-0036654,2021-04-30,,,,,,
Khalil Herbert,RB,2021,Virginia Tech,00-0036906,2021-04-30,,,,,,
Jake Funk,RB,2021,Maryland,00-0036860,2021-04-30,,,,,,
Gerrid Doaks,RB,2021,Cincinnati,00-0036578,2021-04-30,,,,,,
Kylin Hill,RB,2021,Mississippi St.,00-0036669,2021-04-30,,,,,,
Jermar Jefferson,RB,2021,Oregon St.,00-0036670,2021-04-30,,,,,,
Ja'Marr Chase,WR,2021,LSU,00-0036900,2021-04-30,,,,,,
Jaylen Waddle,WR,2021,Alabama,00-0036613,2021-04-30,,,,,,
DeVonta Smith,WR,2021,Alabama,00-0036912,2021-04-30,,,,,,
Kadarius Toney,WR,2021,Florida,00-0036913,2021-04-30,,,,,,
Rashod Bateman,WR,2021,Minnesota,00-0036550,2021-04-30,,,,,,
Elijah Moore,WR,2021,Mississippi,00-0036980,2021-04-30,,,,,,
Rondale Moore,WR,2021,Purdue,00-0036936,2021-04-30,,,,,,
D'Wayne Eskridge,WR,2021,Western Michigan,00-0036620,2021-04-30,,,,,,
